caseid,activity,activity_no,y_acc_sum,z_t,n_t,q_t,h_t,b_t,s_t,v_t,u_t,starttime,endtime,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,d,1,0,0.08095926267594201,0.08095926267594201,0.4276113949211866,0.082,0.2646521322452446,0.0723886050788134,0.10630879504557966,0.5253495323696377,0.5,0.6063087950455797,2023-01-01 19:56:34,2023-01-02 06:00:00,2023-01-02 08:33:05,Monday,6
0,b,2,0,0.08095926267594201,0.6063087950455797,0.8586853965249659,0.082,0.1703766014793862,0.0,0.5612967523684834,0.8136733538478697,0.8586853965249659,1.4199821488934492,2023-01-01 19:56:34,2023-01-02 14:36:30,2023-01-03 04:04:46,Monday,14
0,c,3,0,0.08095926267594201,1.4199821488934492,1.6698874928666623,0.082,0.16790534397321308,0.0,0.5442974954336962,0.7942028394069093,1.6698874928666623,2.2141849883003584,2023-01-01 19:56:34,2023-01-03 10:04:38,2023-01-03 23:08:25,Tuesday,10
0,e,4,0,0.08095926267594201,2.2141849883003584,2.294182809142031,0.041,0.038997820841672276,0.20581719085796912,3.4657116350515844,3.751526646751226,2.4999999999999996,5.9657116350515835,2023-01-01 19:56:34,2023-01-04 06:00:00,2023-01-07 17:10:37,Wednesday,6
0,f,5,0,0.08095926267594201,5.965711635051584,0.047257446375376766,0.082,0.9995458113237922,0.45274255362462323,6.362520357941463,7.896808722889879,7.5,13.862520357941463,2023-01-01 19:56:34,2023-01-09 06:00:00,2023-01-15 14:42:01,Monday,6
1,d,1,0,0.757247860309909,0.757247860309909,0.8165841480778504,0.041,0.018336287767941422,0.0,4.932924087808804,4.992260375576745,0.8165841480778504,5.749508235886654,2023-01-02 12:10:26,2023-01-02 13:35:52,2023-01-07 11:59:17,Monday,13
1,b,2,0,0.757247860309909,5.749508235886654,6.035403004148996,0.123,0.1628947682623425,1.4645969958510037,7.011253586561209,8.761745350674556,7.5,14.51125358656121,2023-01-02 12:10:26,2023-01-09 06:00:00,2023-01-16 06:16:12,Monday,6
1,c,3,0,0.757247860309909,14.51125358656121,0.6689603397084571,0.0,0.15770675314724766,0.0,0.6193735602646507,0.7770803134118984,14.668960339708457,15.288333899973107,2023-01-02 12:10:26,2023-01-16 10:03:18,2023-01-17 00:55:12,Monday,10
1,e,4,0,0.757247860309909,15.288333899973109,1.3175281701488561,0.0,0.029194270175747578,0.18247182985114385,2.168496180499583,2.3801622805264744,15.5,17.668496180499584,2023-01-02 12:10:26,2023-01-17 06:00:00,2023-01-19 10:02:38,Tuesday,6
1,f,5,0,0.757247860309909,17.668496180499584,3.8101687305266267,0.082,0.059672550027040895,0.0,1.3485599726727067,1.4902325226997475,17.810168730526627,19.158728703199333,2023-01-02 12:10:26,2023-01-19 13:26:38,2023-01-20 21:48:34,Thursday,13
2,d,1,0,1.7221619216720647,1.7221619216720647,1.934266501005745,0.041,0.17110457933368017,0.0,5.954928917707501,6.167033497041181,1.934266501005745,7.889195418713246,2023-01-03 11:19:54,2023-01-03 16:25:20,2023-01-09 15:20:26,Tuesday,16
2,b,2,0,1.7221619216720647,7.889195418713245,1.4418742885233318,0.041,0.5116788698100859,0.05812571147666823,4.086802840487334,4.697607421774089,8.5,12.586802840487334,2023-01-03 11:19:54,2023-01-10 06:00:00,2023-01-14 08:04:59,Tuesday,6
2,c,3,0,1.7221619216720647,12.586802840487334,5.852240610136498,0.082,0.18343776964916367,1.6477593898635021,2.2671650532324765,4.180362212745142,14.5,16.767165053232475,2023-01-03 11:19:54,2023-01-16 06:00:00,2023-01-18 12:24:43,Monday,6
2,e,4,0,1.7221619216720647,16.767165053232475,2.827499553098253,0.0,0.06033449986577989,0.0,1.4922110789681973,1.5525455788339773,16.827499553098253,18.31971063206645,2023-01-03 11:19:54,2023-01-18 13:51:35,2023-01-20 01:40:22,Wednesday,13
2,f,5,0,1.7221619216720647,18.319710632066453,4.364296186293675,0.041,0.0035855542272214616,0.1357038137063249,3.828617080949697,4.008906448883243,18.5,22.328617080949698,2023-01-03 11:19:54,2023-01-20 06:00:00,2023-01-24 01:53:12,Friday,6
3,d,1,0,2.1025130294128145,2.1025130294128145,2.452218653613907,0.082,0.2677056242010924,0.047781346386093215,0.060126190980147425,0.45761316156733306,2.5,2.5601261909801476,2023-01-03 20:27:37,2023-01-04 06:00:00,2023-01-04 07:26:34,Wednesday,6
3,b,2,0,2.1025130294128145,2.5601261909801476,2.751216384469386,0.082,0.10909019348923839,0.0,3.5616001084489635,3.752690301938202,2.751216384469386,6.3128164929183495,2023-01-03 20:27:37,2023-01-04 12:01:45,2023-01-08 01:30:27,Wednesday,12
3,c,3,0,2.1025130294128145,6.3128164929183495,6.552761872966814,0.123,0.11694538004846394,0.9472381270331862,0.665576856812221,1.852760363893871,7.5,8.165576856812221,2023-01-03 20:27:37,2023-01-09 06:00:00,2023-01-09 21:58:25,Monday,6
3,e,4,0,2.1025130294128145,8.165576856812221,1.2362314672931163,0.041,0.029654610480896255,0.2637685327068837,6.49225054323924,6.82667368642702,8.500000000000002,14.99225054323924,2023-01-03 20:27:37,2023-01-10 06:00:00,2023-01-16 17:48:50,Tuesday,6
