caseid,activity,activity_no,y_acc_sum,z_t,n_t,q_t,h_t,b_t,s_t,v_t,u_t,starttime,endtime,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,c,1,0,0.24914096018416315,0.24914096018416315,0.5018951418839062,0.082,0.17075418169974296,0.0,0.013759233191704166,0.26651341489144714,0.5018951418839062,0.5156543750756103,2023-01-01 23:58:45,2023-01-02 06:02:43,2023-01-02 06:22:32,Monday,6
0,d,2,0,0.24914096018416315,0.5156543750756103,0.579190227300753,0.041,0.02253585222514263,0.0,0.3639706855239312,0.4275065377490738,0.579190227300753,0.9431609128246842,2023-01-01 23:58:45,2023-01-02 07:54:02,2023-01-02 16:38:09,Monday,7
0,e,3,0,0.24914096018416315,0.9431609128246841,0.989806680755211,0.041,0.005645767930526993,0.0,0.08008506566487178,0.12673083359539877,0.989806680755211,1.0698917464200828,2023-01-01 23:58:45,2023-01-02 17:45:19,2023-01-02 19:40:38,Monday,17
0,f,4,0,0.24914096018416315,1.0698917464200828,1.1895139174640759,0.0,0.11962217104399311,0.31048608253592413,0.4727594313688627,0.90286768494878,1.5,1.9727594313688628,2023-01-01 23:58:45,2023-01-03 06:00:00,2023-01-03 17:20:46,Tuesday,6
1,f,1,0,1.1788469655617624,1.1788469655617624,1.2610719150990088,0.041,0.04122494953724638,0.23892808490099116,0.007758374777928935,0.32891140921616646,1.4999999999999998,1.5077583747779286,2023-01-02 22:17:32,2023-01-03 06:00:00,2023-01-03 06:11:10,Tuesday,6
2,f,1,0,1.3996795565337927,1.3996795565337927,1.7050191493277809,0.082,0.22333959279398805,0.0,0.05742625440802764,0.36276584720201566,1.7050191493277809,1.7624454037358086,2023-01-03 03:35:32,2023-01-03 10:55:13,2023-01-03 12:17:55,Tuesday,10
2,f,2,0,1.3996795565337927,1.7624454037358084,2.063525946746817,0.082,0.21908054301100868,0.4364740532531828,1.9347889087178243,2.672343504982016,2.5,4.434788908717824,2023-01-03 03:35:32,2023-01-04 06:00:00,2023-01-06 04:26:05,Wednesday,6
2,c,3,0,1.3996795565337927,4.434788908717824,4.756343730803987,0.082,0.23955482208616377,0.0,0.057536774078516414,0.3790915961646802,4.756343730803987,4.813880504882504,2023-01-03 03:35:32,2023-01-06 12:09:08,2023-01-06 13:31:59,Friday,12
2,f,4,0,1.3996795565337927,4.813880504882504,5.305434148380377,0.123,0.36855364349787356,2.1945658516196227,0.4114401446501365,3.0975596397676326,7.500000000000001,7.911440144650137,2023-01-03 03:35:32,2023-01-09 06:00:00,2023-01-09 15:52:28,Monday,6
3,d,1,0,2.2799670068154225,2.2799670068154225,2.4547589132192313,0.041,0.1337919064038088,0.04524108678076866,0.023903682133361796,0.24393667531793928,2.5,2.5239036821333616,2023-01-04 00:43:09,2023-01-04 06:00:00,2023-01-04 06:34:25,Wednesday,6
3,c,2,0,2.2799670068154225,2.523903682133362,2.577767483373582,0.041,0.01286380124022038,0.0,0.10515988928292479,0.15902369052314516,2.577767483373582,2.682927372656507,2023-01-04 00:43:09,2023-01-04 07:51:59,2023-01-04 10:23:24,Wednesday,7
3,f,3,0,2.2799670068154225,2.6829273726565073,2.812658182739845,0.082,0.04773081008333758,0.0,0.014131332200639583,0.14386214228397717,2.812658182739845,2.8267895149404847,2023-01-04 00:43:09,2023-01-04 13:30:13,2023-01-04 13:50:34,Wednesday,13
3,f,4,0,2.2799670068154225,2.8267895149404842,3.1339488831251616,0.123,0.18415936818467762,0.3660511168748384,1.1955405860251527,1.8687510710846686,3.5,4.695540586025153,2023-01-04 00:43:09,2023-01-05 06:00:00,2023-01-06 10:41:34,Thursday,6
3,c,5,0,2.2799670068154225,4.695540586025153,5.315944123993828,0.041,0.5794035379686744,2.1840558760061723,0.2711942225219793,3.0756536364968263,7.5,7.771194222521979,2023-01-04 00:43:09,2023-01-09 06:00:00,2023-01-09 12:30:31,Monday,6
3,b,6,0,2.2799670068154225,7.771194222521979,0.9332620932002316,0.041,0.1210678706782526,0.0,0.06780963778450085,0.22987750846275345,7.933262093200232,8.001071730984732,2023-01-04 00:43:09,2023-01-09 16:23:53,2023-01-09 18:01:32,Monday,16
3,f,7,0,2.2799670068154225,8.001071730984732,1.0901541327525468,0.041,0.048082401767814684,0.4098458672474532,0.002027055464808797,0.5009553244800766,8.5,8.50202705546481,2023-01-04 00:43:09,2023-01-10 06:00:00,2023-01-10 06:02:55,Tuesday,6
3,c,8,0,2.2799670068154225,8.502027055464808,1.6402302757127885,0.082,0.05620322024798126,0.0,1.5257482568569452,1.6639514771049264,8.64023027571279,10.165978532569735,2023-01-04 00:43:09,2023-01-10 09:21:55,2023-01-11 21:59:00,Tuesday,9
4,f,1,0,4.506455729103788,4.506455729103788,4.71220938059391,0.123,0.0827536514901216,0.0,0.07547621987117105,0.2812298713612926,4.71220938059391,4.787685600465081,2023-01-06 06:09:17,2023-01-06 11:05:34,2023-01-06 12:54:16,Friday,11
5,d,1,0,6.820343837201889,6.820343837201889,0.0021999866535544754,0.041,0.14085614945166477,0.4978000133464455,0.02772656130695982,0.7073827241050702,7.5,7.5277265613069595,2023-01-08 13:41:17,2023-01-09 06:00:00,2023-01-09 06:39:55,Monday,6
5,c,2,0,6.820343837201889,7.5277265613069595,0.7144481452515645,0.123,0.06372158394460532,0.0,0.08640580334072198,0.27312738728532726,7.714448145251565,7.800853948592287,2023-01-08 13:41:17,2023-01-09 11:08:48,2023-01-09 13:13:13,Monday,11
5,f,3,0,6.820343837201889,7.8008539485922865,1.0302796979073676,0.123,0.10642574931508093,0.4697203020926324,0.008182461133736869,0.7073285125414501,8.5,8.508182461133737,2023-01-08 13:41:17,2023-01-10 06:00:00,2023-01-10 06:11:46,Tuesday,6
5,b,4,0,6.820343837201889,8.508182461133737,1.6703931553242661,0.041,0.12121069419052982,0.0,0.26216295838031256,0.42437365257084236,8.670393155324268,8.93255611370458,2023-01-08 13:41:17,2023-01-10 10:05:21,2023-01-10 16:22:52,Tuesday,10
5,d,5,0,6.820343837201889,8.93255611370458,2.014168467068382,0.041,0.04061235336380231,0.48583153293161807,0.3895679831761453,0.9570118694715657,9.5,9.889567983176144,2023-01-08 13:41:17,2023-01-11 06:00:00,2023-01-11 15:20:58,Wednesday,6
5,b,6,0,6.820343837201889,9.889567983176146,3.0192003053191563,0.041,0.08863232214301049,0.4807996946808437,0.1287450573122249,0.739177074136079,10.5,10.628745057312225,2023-01-08 13:41:17,2023-01-12 06:00:00,2023-01-12 09:05:23,Thursday,6
5,b,7,0,6.820343837201889,10.628745057312225,3.677461936440791,0.041,0.00771687912856632,0.0,0.2779366301778296,0.3266535093063959,10.67746193644079,10.955398566618621,2023-01-08 13:41:17,2023-01-12 10:15:32,2023-01-12 16:55:46,Thursday,10
6,d,1,0,10.433420331198302,10.433420331198302,3.535292327388161,0.041,0.06087199618985894,0.0,0.02472359588685397,0.12659559207671292,10.535292327388161,10.560015923275015,2023-01-12 04:24:07,2023-01-12 06:50:49,2023-01-12 07:26:25,Thursday,6
