caseid,activity,activity_no,y_acc_sum,z_t,n_t,q_t,h_t,b_t,s_t,v_t,u_t,starttime,endtime,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,d,1,0,0.5882040971311018,0.5882040971311018,0.7443818243047362,0.041,0.11517772717363442,0.0,0.24711289638077408,0.4032906235544085,0.7443818243047362,0.9914947206855103,2023-01-02 08:07:00,2023-01-02 11:51:54,2023-01-02 17:47:45,Monday,11
0,c,2,0,0.5882040971311018,0.9914947206855103,1.2178489485027282,0.0,0.2263542278172179,0.2821510514972718,0.059128730073937694,0.5676340093884275,1.5,1.5591287300739376,2023-01-02 08:07:00,2023-01-03 06:00:00,2023-01-03 07:25:08,Tuesday,6
1,c,1,0,1.1866126644755663,1.1866126644755663,1.4754830907554235,0.041,0.24787042627985723,0.0245169092445765,0.036928376203429585,0.3503157117278633,1.5,1.5369283762034296,2023-01-02 22:28:43,2023-01-03 06:00:00,2023-01-03 06:53:10,Tuesday,6
1,c,2,0,1.1866126644755663,1.5369283762034296,1.6490024220486907,0.082,0.030074045845261185,0.0,0.035716069835432566,0.14779011568069375,1.6490024220486907,1.6847184918841234,2023-01-02 22:28:43,2023-01-03 09:34:33,2023-01-03 10:25:59,Tuesday,9
1,d,3,0,1.1866126644755663,1.6847184918841234,1.9143822240137927,0.0,0.22966373212966928,0.0,0.550641564512254,0.7803052966419233,1.9143822240137927,2.4650237885260466,2023-01-02 22:28:43,2023-01-03 15:56:42,2023-01-04 05:09:38,Tuesday,15
1,b,4,0,1.1866126644755663,2.4650237885260466,2.6903468462273077,0.041,0.18432305770126087,0.0,0.8633356883234997,1.0886587460247605,2.6903468462273072,3.553682534550807,2023-01-02 22:28:43,2023-01-04 10:34:05,2023-01-05 07:17:18,Wednesday,10
1,e,5,0,1.1866126644755663,3.5536825345508074,3.755260802762157,0.082,0.1195782682113496,0.0,0.18306591469745292,0.38464418290880253,3.755260802762157,3.93832671745961,2023-01-02 22:28:43,2023-01-05 12:07:34,2023-01-05 16:31:11,Thursday,12
1,c,6,0,1.1866126644755663,3.93832671745961,4.0363249559875305,0.041,0.05699823852792027,0.4636750440124695,0.07178826318086008,0.6334615457212499,4.5,4.57178826318086,2023-01-02 22:28:43,2023-01-06 06:00:00,2023-01-06 07:43:22,Friday,6
1,f,7,0,1.1866126644755663,4.57178826318086,4.6244476248164075,0.041,0.011659361635547837,0.0,1.2861435206204528,1.3388028822560005,4.624447624816408,5.910591145436861,2023-01-02 22:28:43,2023-01-06 08:59:12,2023-01-07 15:51:15,Friday,8
1,c,8,0,1.1866126644755663,5.910591145436861,6.302341536088401,0.082,0.3097503906515404,1.1976584639115986,0.21792924527865223,1.8073380998417914,7.5,7.717929245278652,2023-01-02 22:28:43,2023-01-09 06:00:00,2023-01-09 11:13:49,Monday,6
1,d,9,0,1.1866126644755663,7.717929245278652,0.8419557555285948,0.082,0.042026510249942625,0.0,0.12550871030182034,0.24953522055176297,7.841955755528595,7.967464465830415,2023-01-02 22:28:43,2023-01-09 14:12:24,2023-01-09 17:13:08,Monday,14
1,d,10,0,1.1866126644755663,7.967464465830416,1.124363952405968,0.082,0.07489948657555237,0.3756360475940319,0.1298244243551597,0.662359958524744,8.5,8.62982442435516,2023-01-02 22:28:43,2023-01-10 06:00:00,2023-01-10 09:06:56,Tuesday,6
1,f,11,0,1.1866126644755663,8.62982442435516,1.6888873429289966,0.041,0.018062918573836014,0.0,1.7080551569150226,1.7671180754888587,8.688887342928997,10.39694249984402,2023-01-02 22:28:43,2023-01-10 10:31:59,2023-01-12 03:31:35,Tuesday,10
1,f,12,0,1.1866126644755663,10.39694249984402,3.518604196065855,0.041,0.08066169622183546,0.0,0.6922048131578563,0.8138665093796917,10.518604196065855,11.210809009223711,2023-01-02 22:28:43,2023-01-12 06:26:47,2023-01-12 23:03:33,Thursday,6
2,e,1,0,2.401123364492686,2.401123364492686,2.4478867104348794,0.041,0.005763345942193547,0.052113289565120624,0.08344211777447169,0.18231875328178587,2.5,2.5834421177744717,2023-01-04 03:37:37,2023-01-04 06:00:00,2023-01-04 08:00:09,Wednesday,6
2,d,2,0,2.401123364492686,2.5834421177744717,2.776859872556486,0.082,0.11141775478201442,0.0,0.3292488897487484,0.5226666445307628,2.776859872556486,3.1061087623052344,2023-01-04 03:37:37,2023-01-04 12:38:40,2023-01-04 20:32:47,Wednesday,12
2,c,3,0,2.401123364492686,3.106108762305235,3.3255178201822466,0.082,0.13740905787701185,0.17448217981775338,2.4196665179357404,2.8135577556305056,3.5,5.91966651793574,2023-01-04 03:37:37,2023-01-05 06:00:00,2023-01-07 16:04:19,Thursday,6
2,b,4,0,2.401123364492686,5.91966651793574,5.996391049970096,0.0,0.07672453203435597,1.5036089500299044,0.5523638043410968,2.132697286405357,7.5,8.052363804341097,2023-01-04 03:37:37,2023-01-09 06:00:00,2023-01-09 19:15:24,Monday,6
3,d,1,0,4.190639024381486,4.190639024381486,4.280152625516714,0.041,0.04851360113522824,0.21984737448328584,0.2810219436376001,0.5903829192561141,4.500000000000001,4.781021943637601,2023-01-05 22:34:31,2023-01-06 06:00:00,2023-01-06 12:44:40,Friday,6
3,f,2,0,4.190639024381486,4.7810219436376,4.953333097209567,0.041,0.13131115357196735,0.0,1.5559162717405084,1.7282274253124759,4.953333097209568,6.509249368950076,2023-01-05 22:34:31,2023-01-06 16:52:47,2023-01-08 06:13:19,Friday,16
3,d,3,0,4.190639024381486,6.509249368950076,6.720490549763393,0.082,0.12924118081331634,0.7795094502366071,0.019144860608700374,1.0098954916586238,7.5,7.519144860608701,2023-01-05 22:34:31,2023-01-09 06:00:00,2023-01-09 06:27:34,Monday,6
3,d,4,0,4.190639024381486,7.5191448606087,0.7526872749961093,0.123,0.11054241438740973,0.0,0.8471691671797085,1.0807115815671182,7.752687274996109,8.599856442175819,2023-01-05 22:34:31,2023-01-09 12:03:52,2023-01-10 08:23:47,Monday,12
3,f,5,0,4.190639024381486,8.599856442175819,1.8738926654397439,0.082,0.19203622326392578,0.0,0.23468040255671452,0.5087166258206404,8.873892665439746,9.10857306799646,2023-01-05 22:34:31,2023-01-10 14:58:24,2023-01-10 20:36:20,Tuesday,14
3,f,6,0,4.190639024381486,9.10857306799646,2.2807278776690065,0.082,0.09015480967254656,0.21927212233099347,0.649993128767289,1.041420060770829,9.5,10.149993128767289,2023-01-05 22:34:31,2023-01-11 06:00:00,2023-01-11 21:35:59,Wednesday,6
4,b,1,0,5.664655769509277,5.664655769509277,5.769215312295388,0.082,0.022559542786110387,1.7307846877046122,0.15724147010884804,1.9925857005995706,7.5,7.657241470108848,2023-01-07 09:57:06,2023-01-09 06:00:00,2023-01-09 09:46:25,Monday,6
4,b,2,0,5.664655769509277,7.657241470108848,0.7927504906996719,0.041,0.09450902059082376,0.0,0.2867452786410325,0.42225429923185626,7.792750490699672,8.079495769340705,2023-01-07 09:57:06,2023-01-09 13:01:33,2023-01-09 19:54:28,Monday,13
4,d,3,0,5.664655769509277,8.079495769340705,1.212469851925821,0.082,0.050974082585115925,0.287530148074179,0.23249222242626266,0.6529964530855575,8.5,8.732492222426263,2023-01-07 09:57:06,2023-01-10 06:00:00,2023-01-10 11:34:47,Tuesday,6
4,b,4,0,5.664655769509277,8.732492222426263,1.8377534880369772,0.082,0.02326126561071508,0.0,0.6327721519941851,0.7380334176049002,8.837753488036979,9.470525640031164,2023-01-07 09:57:06,2023-01-10 14:06:21,2023-01-11 05:17:33,Tuesday,14
