caseid,activity,activity_no,y_acc_sum,z_t,n_t,q_t,h_t,b_t,s_t,v_t,u_t,starttime,endtime,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,b,1,0,1.3214864297709508,1.3214864297709508,1.4913866850006265,0.041,0.12890025522967585,0.008613314999373456,2.9360681355516465,3.114581705780696,1.5,4.436068135551647,2023-01-03 01:42:56,2023-01-03 06:00:00,2023-01-06 04:27:56,Tuesday,6
0,e,2,0,1.3214864297709508,4.436068135551647,4.528026231846917,0.082,0.009958096295270504,0.0,0.7085173849057148,0.8004754812009853,4.528026231846917,5.236543616752632,2023-01-03 01:42:56,2023-01-06 06:40:21,2023-01-06 23:40:37,Friday,6
0,f,3,0,1.3214864297709508,5.236543616752632,5.358956646878756,0.041,0.08141303012612361,2.141043353121244,0.180294435435477,2.4437508186828447,7.5,7.680294435435477,2023-01-03 01:42:56,2023-01-09 06:00:00,2023-01-09 10:19:37,Monday,6
0,c,4,0,1.3214864297709508,7.680294435435477,0.7605337914522421,0.0,0.08023935601676495,0.0,1.4988826466656113,1.5791220026823762,7.760533791452242,9.259416438117853,2023-01-03 01:42:56,2023-01-09 12:15:10,2023-01-11 00:13:33,Monday,12
0,d,5,0,1.3214864297709508,9.259416438117853,2.4578934298941544,0.123,0.07547699177630057,0.04210657010584562,1.7396329018619408,1.9802164637440869,9.499999999999998,11.239632901861938,2023-01-03 01:42:56,2023-01-11 05:59:59,2023-01-12 23:45:04,Wednesday,5
1,b,1,0,2.856876389313016,2.856876389313016,2.9513355335356453,0.082,0.012459144222629365,0.0,1.5732320408477547,1.6676911850703842,2.951335533535645,4.5245675743834,2023-01-04 14:33:54,2023-01-04 16:49:55,2023-01-06 06:35:22,Wednesday,16
1,e,2,0,2.856876389313016,4.5245675743834,4.737542565678658,0.082,0.13097499129525808,0.0,0.026831693936102463,0.23980668523136056,4.737542565678658,4.764374259614761,2023-01-04 14:33:54,2023-01-06 11:42:03,2023-01-06 12:20:41,Friday,11
1,f,3,0,2.856876389313016,4.76437425961476,4.947897312637071,0.123,0.06052305302231151,0.0,0.031300086288696,0.2148231393110075,4.947897312637072,4.979197398925768,2023-01-04 14:33:54,2023-01-06 16:44:58,2023-01-06 17:30:02,Friday,16
1,c,4,0,2.856876389313016,4.979197398925767,5.220892685740998,0.041,0.2006952868152313,2.2791073142590017,2.0744966808382177,4.5952992819124505,7.500000000000001,9.57449668083822,2023-01-04 14:33:54,2023-01-09 06:00:00,2023-01-11 07:47:16,Monday,6
1,d,5,0,2.856876389313016,9.574496680838218,2.9023291601600008,0.082,0.24583247932178237,0.0,0.4434876696826627,0.771320149004445,9.90232916016,10.345816829842663,2023-01-04 14:33:54,2023-01-11 15:39:21,2023-01-12 02:17:58,Wednesday,15
