process_entropy,number_of_traces,statespace_size,process_type,process_memory,med_ent_n_transitions,inter_arrival_time,process_stability_scale,resource_availability_p,resource_availability_n,resource_availability_m,activity_duration_lambda_range,Deterministic_offset_W,Deterministic_offset_u,model_pipeline,num_replications,RUN,Done,Failure,simuation_time_sec,num_traces,num_events,num_variants,avg_tracelen,min_tracelen,max_tracelen
min_entropy,500.0,5,memoryless,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,1,0,0,0.47232985496520996,500,2500,1,5.0,5,5
med_entropy,500.0,5,memoryless,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,2,0,0,0.5264668464660645,500,2889,295,5.778,1,39
max_entropy,500.0,5,memoryless,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,3,0,0,0.5095806121826172,500,2818,340,5.636,1,36
min_entropy,500.0,10,memoryless,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,4,0,0,0.7663459777832031,500,5000,1,10.0,10,10
med_entropy,500.0,10,memoryless,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,5,0,0,0.6734802722930908,500,4199,371,8.398,1,59
max_entropy,500.0,10,memoryless,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,6,0,0,0.8339033126831055,500,5441,440,10.882,1,76
min_entropy,500.0,5,memory,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,7,0,0,0.5875570774078369,500,2500,1,5.0,5,5
med_entropy,500.0,5,memory,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,8,0,0,2.3929762840270996,500,2457,281,4.914,1,36
max_entropy,500.0,5,memory,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,9,0,0,2.4142961502075195,500,3030,348,6.06,1,31
min_entropy,500.0,10,memory,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,10,0,0,1.6961569786071777,500,5000,1,10.0,10,10
med_entropy,500.0,10,memory,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,11,0,0,1037.7198131084442,500,500,6,1.0,1,1
max_entropy,500.0,10,memory,2.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,12,0,0,7.808566331863403,500,5776,458,11.552,1,91
min_entropy,500.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,13,0,0,1.0439918041229248,500,2500,1,5.0,5,5
med_entropy,500.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,14,0,0,0.8011233806610107,500,1542,193,3.084,1,16
max_entropy,500.0,5,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,15,0,0,1.1487889289855957,500,2908,353,5.816,1,31
min_entropy,500.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,16,0,0,1.6901564598083496,500,5000,1,10.0,10,10
med_entropy,500.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,17,0,0,1.67875337600708,500,4991,383,9.982,1,57
max_entropy,500.0,10,memoryless,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,18,0,0,1.8307130336761475,500,5486,450,10.972,1,57
min_entropy,500.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,19,0,0,1.04268217086792,500,2500,1,5.0,5,5
med_entropy,500.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,20,0,0,26.827446460723877,500,3001,268,6.002,1,53
max_entropy,500.0,5,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,21,0,0,28.152849435806274,500,3277,383,6.554,1,35
min_entropy,500.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,22,0,0,1.699096918106079,500,5000,1,10.0,10,10
med_entropy,500.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,23,0,0,784.3474309444427,500,11569,411,23.138,1,96
max_entropy,500.0,10,memory,4.0,3.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,24,0,0,462.5431327819824,500,5469,454,10.938,1,52
min_entropy,500.0,5,memoryless,2.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,25,0,0,1.045482873916626,500,2500,1,5.0,5,5
med_entropy,500.0,5,memoryless,2.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,26,0,0,1.048959493637085,500,2521,281,5.042,1,25
max_entropy,500.0,5,memoryless,2.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,27,0,0,1.1845500469207764,500,3017,371,6.034,1,35
min_entropy,500.0,10,memoryless,2.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,28,0,0,1.702521562576294,500,5000,1,10.0,10,10
med_entropy,500.0,10,memoryless,2.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,29,0,0,1.3012661933898926,500,3409,350,6.818,1,36
max_entropy,500.0,10,memoryless,2.0,5.0,1.5,0.1,0.5,3.0,0.041,1.0,weekdays,7.0,False,0.0,30,0,0,1.878213882446289,500,5720,438,11.44,1,119
