count,event_no,trace_length,transitions,process_entropy,process_type,statespace_size,number_of_traces
500,1,5,3.0,min_entropy,Memoryless,5,500.0
500,2,5,3.0,min_entropy,Memoryless,5,500.0
500,3,5,3.0,min_entropy,Memoryless,5,500.0
500,4,5,3.0,min_entropy,Memoryless,5,500.0
500,5,5,3.0,min_entropy,Memoryless,5,500.0
500,1,39,3.0,med_entropy,Memoryless,5,500.0
435,2,39,3.0,med_entropy,Memoryless,5,500.0
353,3,39,3.0,med_entropy,Memoryless,5,500.0
296,4,39,3.0,med_entropy,Memoryless,5,500.0
242,5,39,3.0,med_entropy,Memoryless,5,500.0
195,6,39,3.0,med_entropy,Memoryless,5,500.0
161,7,39,3.0,med_entropy,Memoryless,5,500.0
137,8,39,3.0,med_entropy,Memoryless,5,500.0
109,9,39,3.0,med_entropy,Memoryless,5,500.0
87,10,39,3.0,med_entropy,Memoryless,5,500.0
72,11,39,3.0,med_entropy,Memoryless,5,500.0
59,12,39,3.0,med_entropy,Memoryless,5,500.0
45,13,39,3.0,med_entropy,Memoryless,5,500.0
34,14,39,3.0,med_entropy,Memoryless,5,500.0
26,15,39,3.0,med_entropy,Memoryless,5,500.0
22,16,39,3.0,med_entropy,Memoryless,5,500.0
18,17,39,3.0,med_entropy,Memoryless,5,500.0
14,18,39,3.0,med_entropy,Memoryless,5,500.0
13,19,39,3.0,med_entropy,Memoryless,5,500.0
9,20,39,3.0,med_entropy,Memoryless,5,500.0
8,21,39,3.0,med_entropy,Memoryless,5,500.0
6,23,39,3.0,med_entropy,Memoryless,5,500.0
6,24,39,3.0,med_entropy,Memoryless,5,500.0
6,25,39,3.0,med_entropy,Memoryless,5,500.0
6,22,39,3.0,med_entropy,Memoryless,5,500.0
3,29,39,3.0,med_entropy,Memoryless,5,500.0
3,32,39,3.0,med_entropy,Memoryless,5,500.0
3,31,39,3.0,med_entropy,Memoryless,5,500.0
3,30,39,3.0,med_entropy,Memoryless,5,500.0
3,28,39,3.0,med_entropy,Memoryless,5,500.0
3,27,39,3.0,med_entropy,Memoryless,5,500.0
3,26,39,3.0,med_entropy,Memoryless,5,500.0
2,33,39,3.0,med_entropy,Memoryless,5,500.0
2,34,39,3.0,med_entropy,Memoryless,5,500.0
1,35,39,3.0,med_entropy,Memoryless,5,500.0
1,36,39,3.0,med_entropy,Memoryless,5,500.0
1,37,39,3.0,med_entropy,Memoryless,5,500.0
1,38,39,3.0,med_entropy,Memoryless,5,500.0
1,39,39,3.0,med_entropy,Memoryless,5,500.0
500,1,36,3.0,max_entropy,Memoryless,5,500.0
407,2,36,3.0,max_entropy,Memoryless,5,500.0
323,3,36,3.0,max_entropy,Memoryless,5,500.0
273,4,36,3.0,max_entropy,Memoryless,5,500.0
228,5,36,3.0,max_entropy,Memoryless,5,500.0
188,6,36,3.0,max_entropy,Memoryless,5,500.0
151,7,36,3.0,max_entropy,Memoryless,5,500.0
123,8,36,3.0,max_entropy,Memoryless,5,500.0
96,9,36,3.0,max_entropy,Memoryless,5,500.0
85,10,36,3.0,max_entropy,Memoryless,5,500.0
74,11,36,3.0,max_entropy,Memoryless,5,500.0
65,12,36,3.0,max_entropy,Memoryless,5,500.0
52,13,36,3.0,max_entropy,Memoryless,5,500.0
42,14,36,3.0,max_entropy,Memoryless,5,500.0
35,15,36,3.0,max_entropy,Memoryless,5,500.0
29,16,36,3.0,max_entropy,Memoryless,5,500.0
24,17,36,3.0,max_entropy,Memoryless,5,500.0
20,18,36,3.0,max_entropy,Memoryless,5,500.0
16,19,36,3.0,max_entropy,Memoryless,5,500.0
14,20,36,3.0,max_entropy,Memoryless,5,500.0
14,21,36,3.0,max_entropy,Memoryless,5,500.0
11,22,36,3.0,max_entropy,Memoryless,5,500.0
8,23,36,3.0,max_entropy,Memoryless,5,500.0
7,24,36,3.0,max_entropy,Memoryless,5,500.0
6,25,36,3.0,max_entropy,Memoryless,5,500.0
4,30,36,3.0,max_entropy,Memoryless,5,500.0
4,29,36,3.0,max_entropy,Memoryless,5,500.0
4,28,36,3.0,max_entropy,Memoryless,5,500.0
4,27,36,3.0,max_entropy,Memoryless,5,500.0
4,26,36,3.0,max_entropy,Memoryless,5,500.0
2,31,36,3.0,max_entropy,Memoryless,5,500.0
1,32,36,3.0,max_entropy,Memoryless,5,500.0
1,33,36,3.0,max_entropy,Memoryless,5,500.0
1,34,36,3.0,max_entropy,Memoryless,5,500.0
1,35,36,3.0,max_entropy,Memoryless,5,500.0
1,36,36,3.0,max_entropy,Memoryless,5,500.0
500,1,10,3.0,min_entropy,Memoryless,10,500.0
500,2,10,3.0,min_entropy,Memoryless,10,500.0
500,3,10,3.0,min_entropy,Memoryless,10,500.0
500,4,10,3.0,min_entropy,Memoryless,10,500.0
500,5,10,3.0,min_entropy,Memoryless,10,500.0
500,6,10,3.0,min_entropy,Memoryless,10,500.0
500,7,10,3.0,min_entropy,Memoryless,10,500.0
500,8,10,3.0,min_entropy,Memoryless,10,500.0
500,9,10,3.0,min_entropy,Memoryless,10,500.0
500,10,10,3.0,min_entropy,Memoryless,10,500.0
500,1,59,3.0,med_entropy,Memoryless,10,500.0
438,2,59,3.0,med_entropy,Memoryless,10,500.0
390,3,59,3.0,med_entropy,Memoryless,10,500.0
337,4,59,3.0,med_entropy,Memoryless,10,500.0
295,5,59,3.0,med_entropy,Memoryless,10,500.0
256,6,59,3.0,med_entropy,Memoryless,10,500.0
226,7,59,3.0,med_entropy,Memoryless,10,500.0
201,8,59,3.0,med_entropy,Memoryless,10,500.0
181,9,59,3.0,med_entropy,Memoryless,10,500.0
169,10,59,3.0,med_entropy,Memoryless,10,500.0
145,11,59,3.0,med_entropy,Memoryless,10,500.0
118,12,59,3.0,med_entropy,Memoryless,10,500.0
104,13,59,3.0,med_entropy,Memoryless,10,500.0
92,14,59,3.0,med_entropy,Memoryless,10,500.0
85,15,59,3.0,med_entropy,Memoryless,10,500.0
74,16,59,3.0,med_entropy,Memoryless,10,500.0
69,17,59,3.0,med_entropy,Memoryless,10,500.0
59,18,59,3.0,med_entropy,Memoryless,10,500.0
52,19,59,3.0,med_entropy,Memoryless,10,500.0
46,20,59,3.0,med_entropy,Memoryless,10,500.0
41,21,59,3.0,med_entropy,Memoryless,10,500.0
36,22,59,3.0,med_entropy,Memoryless,10,500.0
33,23,59,3.0,med_entropy,Memoryless,10,500.0
25,24,59,3.0,med_entropy,Memoryless,10,500.0
23,25,59,3.0,med_entropy,Memoryless,10,500.0
21,26,59,3.0,med_entropy,Memoryless,10,500.0
19,27,59,3.0,med_entropy,Memoryless,10,500.0
16,28,59,3.0,med_entropy,Memoryless,10,500.0
16,29,59,3.0,med_entropy,Memoryless,10,500.0
15,31,59,3.0,med_entropy,Memoryless,10,500.0
15,30,59,3.0,med_entropy,Memoryless,10,500.0
14,32,59,3.0,med_entropy,Memoryless,10,500.0
9,34,59,3.0,med_entropy,Memoryless,10,500.0
9,33,59,3.0,med_entropy,Memoryless,10,500.0
8,35,59,3.0,med_entropy,Memoryless,10,500.0
8,36,59,3.0,med_entropy,Memoryless,10,500.0
5,37,59,3.0,med_entropy,Memoryless,10,500.0
4,38,59,3.0,med_entropy,Memoryless,10,500.0
4,39,59,3.0,med_entropy,Memoryless,10,500.0
3,44,59,3.0,med_entropy,Memoryless,10,500.0
3,48,59,3.0,med_entropy,Memoryless,10,500.0
3,47,59,3.0,med_entropy,Memoryless,10,500.0
3,45,59,3.0,med_entropy,Memoryless,10,500.0
3,46,59,3.0,med_entropy,Memoryless,10,500.0
3,43,59,3.0,med_entropy,Memoryless,10,500.0
3,42,59,3.0,med_entropy,Memoryless,10,500.0
3,41,59,3.0,med_entropy,Memoryless,10,500.0
3,40,59,3.0,med_entropy,Memoryless,10,500.0
2,49,59,3.0,med_entropy,Memoryless,10,500.0
2,50,59,3.0,med_entropy,Memoryless,10,500.0
2,51,59,3.0,med_entropy,Memoryless,10,500.0
1,52,59,3.0,med_entropy,Memoryless,10,500.0
1,53,59,3.0,med_entropy,Memoryless,10,500.0
1,54,59,3.0,med_entropy,Memoryless,10,500.0
1,55,59,3.0,med_entropy,Memoryless,10,500.0
1,56,59,3.0,med_entropy,Memoryless,10,500.0
1,57,59,3.0,med_entropy,Memoryless,10,500.0
1,58,59,3.0,med_entropy,Memoryless,10,500.0
1,59,59,3.0,med_entropy,Memoryless,10,500.0
500,1,76,3.0,max_entropy,Memoryless,10,500.0
447,2,76,3.0,max_entropy,Memoryless,10,500.0
403,3,76,3.0,max_entropy,Memoryless,10,500.0
371,4,76,3.0,max_entropy,Memoryless,10,500.0
345,5,76,3.0,max_entropy,Memoryless,10,500.0
304,6,76,3.0,max_entropy,Memoryless,10,500.0
277,7,76,3.0,max_entropy,Memoryless,10,500.0
246,8,76,3.0,max_entropy,Memoryless,10,500.0
233,9,76,3.0,max_entropy,Memoryless,10,500.0
217,10,76,3.0,max_entropy,Memoryless,10,500.0
199,11,76,3.0,max_entropy,Memoryless,10,500.0
178,12,76,3.0,max_entropy,Memoryless,10,500.0
163,13,76,3.0,max_entropy,Memoryless,10,500.0
146,14,76,3.0,max_entropy,Memoryless,10,500.0
135,15,76,3.0,max_entropy,Memoryless,10,500.0
123,16,76,3.0,max_entropy,Memoryless,10,500.0
110,17,76,3.0,max_entropy,Memoryless,10,500.0
101,18,76,3.0,max_entropy,Memoryless,10,500.0
92,19,76,3.0,max_entropy,Memoryless,10,500.0
82,20,76,3.0,max_entropy,Memoryless,10,500.0
74,21,76,3.0,max_entropy,Memoryless,10,500.0
64,22,76,3.0,max_entropy,Memoryless,10,500.0
58,23,76,3.0,max_entropy,Memoryless,10,500.0
55,24,76,3.0,max_entropy,Memoryless,10,500.0
44,25,76,3.0,max_entropy,Memoryless,10,500.0
40,26,76,3.0,max_entropy,Memoryless,10,500.0
39,27,76,3.0,max_entropy,Memoryless,10,500.0
35,28,76,3.0,max_entropy,Memoryless,10,500.0
32,29,76,3.0,max_entropy,Memoryless,10,500.0
31,30,76,3.0,max_entropy,Memoryless,10,500.0
29,31,76,3.0,max_entropy,Memoryless,10,500.0
25,32,76,3.0,max_entropy,Memoryless,10,500.0
24,33,76,3.0,max_entropy,Memoryless,10,500.0
20,34,76,3.0,max_entropy,Memoryless,10,500.0
15,35,76,3.0,max_entropy,Memoryless,10,500.0
15,36,76,3.0,max_entropy,Memoryless,10,500.0
14,37,76,3.0,max_entropy,Memoryless,10,500.0
13,38,76,3.0,max_entropy,Memoryless,10,500.0
9,41,76,3.0,max_entropy,Memoryless,10,500.0
9,39,76,3.0,max_entropy,Memoryless,10,500.0
9,40,76,3.0,max_entropy,Memoryless,10,500.0
8,42,76,3.0,max_entropy,Memoryless,10,500.0
7,43,76,3.0,max_entropy,Memoryless,10,500.0
7,44,76,3.0,max_entropy,Memoryless,10,500.0
7,45,76,3.0,max_entropy,Memoryless,10,500.0
7,46,76,3.0,max_entropy,Memoryless,10,500.0
7,47,76,3.0,max_entropy,Memoryless,10,500.0
7,48,76,3.0,max_entropy,Memoryless,10,500.0
7,49,76,3.0,max_entropy,Memoryless,10,500.0
6,50,76,3.0,max_entropy,Memoryless,10,500.0
5,51,76,3.0,max_entropy,Memoryless,10,500.0
5,52,76,3.0,max_entropy,Memoryless,10,500.0
5,53,76,3.0,max_entropy,Memoryless,10,500.0
4,54,76,3.0,max_entropy,Memoryless,10,500.0
4,55,76,3.0,max_entropy,Memoryless,10,500.0
4,56,76,3.0,max_entropy,Memoryless,10,500.0
2,61,76,3.0,max_entropy,Memoryless,10,500.0
2,60,76,3.0,max_entropy,Memoryless,10,500.0
2,59,76,3.0,max_entropy,Memoryless,10,500.0
